Fish,SR,P,Diff,Sgn rank
1,0.32,0.39,0.07,15.5
2,0.4,0.47,0.07,15.5
3,0.11,0.11,0,
4,0.47,0.43,-0.04,-11
5,0.32,0.42,0.1,20
6,0.35,0.3,-0.05,-13.5
7,0.32,0.43,0.11,20
8,0.63,0.98,0.35,23
9,0.5,0.86,0.36,24
10,0.6,0.79,0.19,22
11,0.38,0.33,-0.05,-13.5
12,0.46,0.45,-0.01,-2.5
13,0.2,0.22,0.02,6.5
14,0.31,0.3,-0.01,-2.5
15,0.62,0.6,-0.02,-6.5
16,0.52,0.53,0.01,2.5
17,0.77,0.85,0.08,17.5
18,0.23,0.21,-0.02,-6.5
19,0.3,0.33,0.03,9
20,0.7,0.57,-0.13,-21
21,0.41,0.43,0.02,6.5
22,0.53,0.49,-0.04,-11
23,0.19,0.2,0.01,2.5
24,0.31,0.35,0.04,11
25,0.48,0.4,-0.08,-17.5
